Data_type,Reported_station_name,Sampling_date,Scientific_name,ValuePhytoplankton,Data_type,Scientific_name,ValueZooplankton
Phytoplankton,B1,2019-02-11,Aphanocapsa,0.040000000,Zooplankton,Cyclopoida,0.005714290
Phytoplankton,B1,2019-04-11,Aphanocapsa,0.162000000,Zooplankton,Cyclopoida,0.011428600
Phytoplankton,B1,2019-05-22,Aphanocapsa,1.080000000,Zooplankton,Cyclopoida,0.034285700
Phytoplankton,B1,2019-06-03,Aphanocapsa,3.450000000,Zooplankton,Cyclopoida,0.091428600
Phytoplankton,B1,2019-06-18,Aphanocapsa,26.811000000,Zooplankton,Cyclopoida,0.085714300
Phytoplankton,B1,2019-07-04,Aphanocapsa,4.374000000,Zooplankton,Cyclopoida,0.171428600
Phytoplankton,B1,2019-07-16,Aphanocapsa,22.752500000,Zooplankton,Cyclopoida,0.114286000
Phytoplankton,B1,2019-08-13,Aphanocapsa,0.445500000,Zooplankton,Cyclopoida,0.228571900
Phytoplankton,B1,2019-08-26,Aphanocapsa,1.113750000,Zooplankton,Cyclopoida,0.114285700
Phytoplankton,B1,2019-09-10,Aphanocapsa,2.814750000,Zooplankton,Cyclopoida,0.042857100
Phytoplankton,B1,2019-09-23,Aphanocapsa,5.285250000,Zooplankton,Cyclopoida,0.068571400
